"G","total_n","pattern","n_per_group","avg_group_size","min_group_size","n_reps_used","mean_ssr","sd_ssr","ci_low_ssr","ci_high_ssr","mean_drift","sd_drift","ci_low_drift","ci_high_drift","mean_ctx","sd_ctx","ci_low_ctx","ci_high_ctx","mean_tpg","sd_tpg","ci_low_tpg","ci_high_tpg","mean_css","sd_css","ci_low_css","ci_high_css","objective"
2,100,"balanced","50,50",50,50,30,1,0,1,1,0.870332005190591,0.510273710005424,0.687732903162335,1.05293110721885,0.747424872287579,0.452591522238864,0.585467076057905,0.909382668517252,0.0143095095989216,0.013602919732183,0.00944176728855906,0.0191772519092841,0.175627294456072,0.0919396146081606,0.142727125901248,0.208527463010897,0.870332005190591
3,100,"balanced","34,33,33",33.3333333333333,33,30,0.977777777777778,0.0845693772341542,0.947515014795375,1.00804054076018,1.93405982442426,0.77365791116366,1.65720989646298,2.21090975238555,1.62592928822027,0.681066047064535,1.38221293329656,1.86964564314397,0.0348099360285957,0.019875600508998,0.027697543730006,0.0419223283271854,0.210856150025917,0.0718686487296878,0.185138284369296,0.236574015682538,1.95628204664649
5,100,"balanced","20,20,20,20,20",20,20,30,0.98,0.0610257153258729,0.958162228230379,1.00183777176962,3.60838242075591,1.30903934250513,3.13994870807541,4.07681613343642,2.86867661056173,1.00522537328543,2.5089613305094,3.22839189061405,0.0660890306761605,0.0236418624808689,0.0576288988397853,0.0745491625125357,0.255635284749757,0.0635845644868998,0.232881840567728,0.278388728931787,3.62838242075591
15,100,"balanced","7,7,7,7,7,7,7,7,7,7,6,6,6,6,6",6.66666666666667,6,30,0.754285714285714,0.101081801974624,0.71811405599713,0.790457372574299,15.2102027119589,5.53783477394761,13.2285139886795,17.1918914352382,10.6189301514203,4.10821950340731,9.14882268253035,12.0890376203102,0.258807978357295,0.0398096785832861,0.244562267832126,0.273053688882465,0.445423895578448,0.0609049162297431,0.423629351210212,0.467218439946683,15.4559169976731
40,100,"balanced","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",2.5,2,30,0.575641025641026,0.0683010567028941,0.551199806395384,0.600082244886667,561.818423776707,804.307391501919,274.000720134131,849.636127419284,323.278575491589,453.444015569712,161.015718441329,485.541432541849,0.908432596817957,0.0627130867368648,0.885991006943672,0.930874186692242,0.735483002114772,0.0398967830488656,0.721206121656907,0.749759882572638,562.242782751066
2,300,"balanced","150,150",150,150,30,1,0,1,1,1.24910564067671,0.522163017715127,1.06225200452498,1.43595927682844,1.1438691421238,0.482865625306753,0.971077897243894,1.31666038700371,0.00655149447681708,0.00456330274233694,0.00491853756233104,0.00818445139130312,0.0976856868548997,0.0525755250336534,0.0788717768462748,0.116499596863525,1.24910564067671
3,300,"balanced","100,100,100",100,100,30,1,0,1,1,1.62397740816914,0.450754478802607,1.46267698949052,1.78527782684777,1.4545433479619,0.405359423976214,1.30948734102797,1.59959935489583,0.00951764073300995,0.00451920416840968,0.00790046429053717,0.0111348171754827,0.118989580555145,0.0361886407412021,0.106039641780332,0.131939519329957,1.62397740816914
5,300,"balanced","60,60,60,60,60",60,60,30,1,0,1,1,3.08763118077456,0.863695010615939,2.77856189056347,3.39670047098565,2.70619434022333,0.743708444805886,2.44006169115752,2.97232698928915,0.0200775860398491,0.00910516383932826,0.0168193450051233,0.023335827074575,0.141001061381195,0.0386241638858726,0.12717958184215,0.15482254092024,3.08763118077456
15,300,"balanced","20,20,20,20,20,20,20,20,20,20,20,20,20,20,20",20,20,30,0.980634920634921,0.0378880518103957,0.967076855419088,0.994192985850753,8.43835211850833,1.48253630746192,7.90783331426903,8.96887092274764,6.77699741125801,1.13844886735843,6.36960871611531,7.18438610640071,0.0718963700547071,0.0187008953863883,0.0652043405855766,0.0785883995238377,0.244575966274742,0.0330744883299188,0.2327404126284,0.256411519921084,8.45771719787341
40,300,"balanced","8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",7.5,7,30,0.813311965811966,0.0535941757305419,0.794133536332937,0.832490395290995,28.1006774432706,7.73318895102237,25.3333913170532,30.8679635694881,19.9287492029749,5.76993938389683,17.864002911723,21.9934954942268,0.238809696090841,0.0327155513882013,0.227102586379503,0.250516805802179,0.416496361881861,0.0322822361855127,0.404944312024392,0.428048411739331,28.2873654774586
2,1200,"balanced","600,600",600,600,30,1,0,1,1,0.798369574181428,0.385317172441766,0.660485594849659,0.936253553513198,0.767406226737612,0.372198496740069,0.634216705215367,0.900595748259857,0.00117108816665859,0.00116490094463405,0.000754233717230296,0.00158794261608688,0.0445382257678624,0.028227006814232,0.0344373211040312,0.0546391304316935,0.798369574181428
3,1200,"balanced","400,400,400",400,400,30,1,0,1,1,1.39851641318735,0.407417309552971,1.25272400135733,1.54430882501736,1.32950058770988,0.390275502183984,1.18984229286717,1.46915888255259,0.00184856835586257,0.000917668151183122,0.00152018502534729,0.00217695168637785,0.0516904675717599,0.0177250643680236,0.0453476347478629,0.058033300395657,1.39851641318735
5,1200,"balanced","240,240,240,240,240",240,240,30,1,0,1,1,3.1234348086003,0.948566202456689,2.78399475243691,3.4628748647637,2.90217473484012,0.873192051565165,2.5897069721715,3.21464249750874,0.00539275782751901,0.00196718275922874,0.00468881051783532,0.0060967051372027,0.0748326957677369,0.020021637048073,0.0676680449647886,0.0819973465706852,3.1234348086003
15,1200,"balanced","80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",80,80,30,1,0,1,1,8.02085755817121,1.53920732451996,7.47005929092426,8.57165582541815,7.12962990857082,1.3417664475014,6.64948495177343,7.60977486536821,0.0175831735436608,0.00351255760164782,0.0163262209487944,0.0188401261385271,0.125481359403597,0.0166456057207577,0.119524805895687,0.131437912911506,8.02085755817121
40,1200,"balanced","30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30",30,30,30,0.993333333333333,0.0112444111277201,0.98930957248793,0.997357094178736,17.0601418058452,2.91790395689925,16.0159832848647,18.1043003268257,14.0977117757845,2.37897233843537,13.2464074576691,14.9490160938998,0.0504588589485812,0.00569705808948678,0.0484201928935888,0.0524975250035736,0.210162591217857,0.0187509767794465,0.203452640352383,0.216872542083332,17.0668084725118
2,3000,"balanced","1500,1500",1500,1500,30,1,0,1,1,0.775999919111275,0.387617135319747,0.637292908633705,0.914706929588845,0.75510777643053,0.380885073824932,0.618809803219919,0.891405749641142,0.000435538095945124,0.000339916909179231,0.00031390039217299,0.000557175799717259,0.0286650611177847,0.0183204948554612,0.0221091562304157,0.0352209660051538,0.775999919111275
3,3000,"balanced","1000,1000,1000",1000,1000,30,1,0,1,1,1.70952827832985,0.732043265804146,1.4475699599594,1.97148659670029,1.65013975088518,0.703855004154964,1.39826847239931,1.90201102937104,0.00107258104211176,0.000703742024647921,0.000820750192823268,0.00132441189140026,0.0346761002406477,0.0125351661749831,0.0301904486335866,0.0391617518477088,1.70952827832985
5,3000,"balanced","600,600,600,600,600",600,600,30,1,0,1,1,2.98965920239734,0.947030901637667,2.65076854657615,3.32854985821852,2.84906377846067,0.900572784836721,2.52679794622619,3.17132961069514,0.00204587048419785,0.000860962774847685,0.00173777891199972,0.00235396205639598,0.0498036193483728,0.0106813649694366,0.045981341983085,0.0536258967136607,2.98965920239734
15,3000,"balanced","200,200,200,200,200,200,200,200,200,200,200,200,200,200,200",200,200,30,1,0,1,1,7.7399320999127,1.50431564524419,7.20161965974068,8.27824454008471,7.19163418250497,1.4063237522849,6.6883876908809,7.69488067412904,0.00732545929592811,0.00158520976210925,0.00675819926780615,0.00789271932405007,0.0765092428481788,0.00841523958189676,0.0734978880382462,0.0795205976581114,7.7399320999127
