"model","AgeDecade","DirectChol","pred_BMI"
"pooled","pooled",0.83,31.8950293026033
"pooled","pooled",0.840588235294118,31.8304892961512
"pooled","pooled",0.851176470588235,31.7659492896992
"pooled","pooled",0.861764705882353,31.7014092832471
"pooled","pooled",0.872352941176471,31.636869276795
"pooled","pooled",0.882941176470588,31.572329270343
"pooled","pooled",0.893529411764706,31.5077892638909
"pooled","pooled",0.904117647058823,31.4432492574388
"pooled","pooled",0.914705882352941,31.3787092509868
"pooled","pooled",0.925294117647059,31.3141692445347
"pooled","pooled",0.935882352941176,31.2496292380826
"pooled","pooled",0.946470588235294,31.1850892316305
"pooled","pooled",0.957058823529412,31.1205492251785
"pooled","pooled",0.967647058823529,31.0560092187264
"pooled","pooled",0.978235294117647,30.9914692122743
"pooled","pooled",0.988823529411765,30.9269292058223
"pooled","pooled",0.999411764705882,30.8623891993702
"pooled","pooled",1.01,30.7978491929181
"pooled","pooled",1.02058823529412,30.7333091864661
"pooled","pooled",1.03117647058824,30.668769180014
"pooled","pooled",1.04176470588235,30.6042291735619
"pooled","pooled",1.05235294117647,30.5396891671099
"pooled","pooled",1.06294117647059,30.4751491606578
"pooled","pooled",1.07352941176471,30.4106091542057
"pooled","pooled",1.08411764705882,30.3460691477537
"pooled","pooled",1.09470588235294,30.2815291413016
"pooled","pooled",1.10529411764706,30.2169891348495
"pooled","pooled",1.11588235294118,30.1524491283975
"pooled","pooled",1.12647058823529,30.0879091219454
"pooled","pooled",1.13705882352941,30.0233691154933
"pooled","pooled",1.14764705882353,29.9588291090413
"pooled","pooled",1.15823529411765,29.8942891025892
"pooled","pooled",1.16882352941176,29.8297490961371
"pooled","pooled",1.17941176470588,29.7652090896851
"pooled","pooled",1.19,29.700669083233
"pooled","pooled",1.20058823529412,29.6361290767809
"pooled","pooled",1.21117647058824,29.5715890703289
"pooled","pooled",1.22176470588235,29.5070490638768
"pooled","pooled",1.23235294117647,29.4425090574247
"pooled","pooled",1.24294117647059,29.3779690509727
"pooled","pooled",1.25352941176471,29.3134290445206
"pooled","pooled",1.26411764705882,29.2488890380685
"pooled","pooled",1.27470588235294,29.1843490316165
"pooled","pooled",1.28529411764706,29.1198090251644
"pooled","pooled",1.29588235294118,29.0552690187123
"pooled","pooled",1.30647058823529,28.9907290122603
"pooled","pooled",1.31705882352941,28.9261890058082
"pooled","pooled",1.32764705882353,28.8616489993561
"pooled","pooled",1.33823529411765,28.7971089929041
"pooled","pooled",1.34882352941176,28.732568986452
"pooled","pooled",1.35941176470588,28.6680289799999
"pooled","pooled",1.37,28.6034889735478
"pooled","pooled",1.38058823529412,28.5389489670958
