"term","ssr_all","ssr_no_0_9","ssr_equal_n_groups","drift_all","drift_no_0_9"
"Gendermale",1,1,1,6.84974028038625,6.23526198250844
"Poverty",0.75,0.714285714285714,0.6,8.7772678789775,8.03784735203894
"DirectChol",1,1,1,16.2895872318764,4.69992966535584
"Pulse",0.75,0.714285714285714,0.6,17.0279508571393,14.7795546021165
"BPSysAve",0.571428571428571,0.523809523809524,1,32.0704645072828,28.6960832204537
